date,skor,close,s_mom,s_rsi,s_vol,s_idr,s_tr
2021-09-30,72.9,6286.94287109375,,,,,
2021-10-01,57.3,6228.84521484375,,,,,
2021-10-04,78.2,6342.68603515625,,,,,
2021-10-05,68.4,6288.048828125,,,,,
2021-10-06,75.1,6417.3232421875,,,,,
2021-10-07,71.4,6416.39599609375,,,,,
2021-10-08,81.0,6481.76904296875,,,,,
2021-10-11,68.7,6459.69677734375,,,,,
2021-10-12,62.7,6486.26708984375,,,,,
2021-10-13,62.2,6536.90380859375,,,,,
2021-10-14,60.6,6626.11376953125,,,,,
2021-10-15,61.9,6633.337890625,,,,,
2021-10-18,60.8,6658.76806640625,,,,,
2021-10-19,61.9,6655.998046875,,,,,
2021-10-21,62.5,6632.97216796875,,,,,
2021-10-22,59.2,6643.73779296875,,,,,
2021-10-25,56.5,6625.69677734375,,,,,
2021-10-26,59.2,6656.93701171875,,,,,
2021-10-27,53.8,6602.208984375,,,,,
2021-10-28,46.8,6524.076171875,,,,,
2021-10-29,51.9,6591.34619140625,,,,,
2021-11-01,43.3,6552.88916015625,,,,,
2021-11-02,35.9,6493.27490234375,,,,,
2021-11-03,40.0,6552.1298828125,,,,,
2021-11-04,38.7,6586.44287109375,,,,,
2021-11-05,41.1,6581.78515625,,,,,
2021-11-08,44.1,6632.296875,,,,,
2021-11-09,49.7,6669.9248046875,,,,,
2021-11-10,47.8,6683.14501953125,,,,,
2021-11-11,45.8,6691.341796875,,,,,
2021-11-12,42.6,6651.05419921875,,,,,
2021-11-15,40.4,6616.02880859375,,,,,
2021-11-16,36.4,6651.20703125,,,,,
2021-11-17,41.4,6675.80419921875,,,,,
2021-11-18,38.6,6636.46923828125,,,,,
2021-11-19,49.6,6720.26318359375,,,,,
2021-11-22,56.0,6723.38623046875,,,,,
2021-11-23,47.0,6677.8759765625,,,,,
2021-11-24,48.2,6683.27685546875,,,,,
2021-11-25,49.1,6699.34619140625,,,,,
2021-11-26,36.4,6561.55322265625,,,,,
2021-11-29,31.1,6608.2900390625,,,,,
2021-11-30,22.7,6533.93212890625,,,,,
2021-12-01,23.2,6507.6767578125,,,,,
2021-12-02,32.1,6583.81982421875,,,,,
2021-12-03,21.4,6538.505859375,,,,,
2021-12-06,26.0,6547.1162109375,,,,,
2021-12-07,31.3,6602.56884765625,,,,,
2021-12-08,31.3,6603.7978515625,,,,,
2021-12-09,33.5,6643.93212890625,,,,,
2021-12-10,30.3,6652.921875,,,,,
2021-12-13,35.5,6662.87109375,,,,,
2021-12-14,34.7,6615.63720703125,,,,,
2021-12-15,30.9,6626.2568359375,,,,,
2021-12-16,21.8,6594.7978515625,,,,,
2021-12-17,21.2,6601.93212890625,,,,,
2021-12-20,12.9,6547.11181640625,,,,,
2021-12-21,17.9,6554.30908203125,,,,,
2021-12-22,18.8,6529.5927734375,,,,,
2021-12-23,25.0,6555.55078125,,,,,
2021-12-24,25.2,6562.89990234375,,,,,
2021-12-27,40.1,6575.44384765625,,,,,
2021-12-28,40.6,6598.3427734375,,,,,
2021-12-29,45.2,6600.6767578125,,,,,
2021-12-30,41.4,6581.48193359375,,,,,
2022-01-03,53.6,6665.30810546875,,,,,
2022-01-04,55.7,6695.373046875,,,,,
2022-01-05,52.0,6662.298828125,,,,,
2022-01-06,50.4,6653.35107421875,,,,,
2022-01-07,53.1,6701.31591796875,,,,,
2022-01-10,48.6,6691.1240234375,,,,,
2022-01-11,40.6,6647.97021484375,,,,,
2022-01-12,40.9,6647.06494140625,,,,,
2022-01-13,40.4,6658.35595703125,,,,,
2022-01-14,44.9,6693.40087890625,,,,,
2022-01-17,41.1,6645.0478515625,,,,,
2022-01-18,34.6,6614.05908203125,,,,,
2022-01-19,22.0,6591.98095703125,,,,,
2022-01-20,20.2,6626.87109375,,,,,
2022-01-21,31.7,6726.373046875,,,,,
2022-01-24,26.9,6655.166015625,,,,,
2022-01-25,22.0,6568.1728515625,,,,,
2022-01-26,30.1,6600.81884765625,,,,,
2022-01-27,31.2,6611.1611328125,,,,,
2022-01-28,39.3,6645.51123046875,,,,,
2022-01-31,34.6,6631.15087890625,,,,,
2022-02-02,42.9,6707.65185546875,,,,,
2022-02-03,42.0,6683.85107421875,,,,,
2022-02-04,49.7,6731.39111328125,,,,,
2022-02-07,60.2,6804.93701171875,,,,,
2022-02-08,58.7,6789.52197265625,,,,,
2022-02-09,62.2,6834.60595703125,,,,,
2022-02-10,64.2,6823.64208984375,,,,,
2022-02-11,62.4,6815.60693359375,,,,,
2022-02-14,50.7,6734.48583984375,,,,,
2022-02-15,56.8,6807.4970703125,,,,,
2022-02-16,61.1,6850.1982421875,,,,,
2022-02-17,59.4,6835.1171875,,,,,
2022-02-18,61.9,6892.81787109375,,,,,
2022-02-21,62.5,6902.96484375,,,,,
2022-02-22,55.6,6861.994140625,,,,,
